CIK,start_date,start_price,six_month_price,three_year_price,return_6m,return_3y,random_predict,lgbm_predict,nn_predict,random_desired_invest,random_actual_invest,random_profit_this_ipo,random_cumulative_profit,random_capital_after_ipo,lgbm_desired_invest,lgbm_actual_invest,lgbm_profit_this_ipo,lgbm_cumulative_profit,lgbm_capital_after_ipo,nn_desired_invest,nn_actual_invest,nn_profit_this_ipo,nn_cumulative_profit,nn_capital_after_ipo,lgbm_prob_6m,lgbm_prob_3y,nn_prob_6m,nn_prob_3y,true_6m,true_3y
719739,2019-12-03,21.4100,21.2500,18.3800,-0.0075,-0.1415,6M:1 3Y:0,6M:0 3Y:0,6M:1 3Y:0,100.0000,100.0000,-0.7473,-0.7473,99999.2527,0.0000,0.0000,0.0000,0.0000,100000.0000,100.0000,100.0000,-0.7473,-0.7473,99999.2527,0.1604,0.0137,0.5513,0.4522,0,0
1718512,2018-01-25,18.5000,15.3100,14.8100,-0.1724,-0.1995,6M:0 3Y:0,6M:1 3Y:0,6M:0 3Y:0,0.0000,0.0000,0.0000,-0.7473,99999.2527,100.0000,100.0000,-17.2432,-17.2432,99982.7568,0.0000,0.0000,0.0000,-0.7473,99999.2527,0.6842,0.0192,0.4941,0.4224,0,0
1847345,2022-02-17,10.0000,10.1200,11.6000,0.0120,0.1600,6M:1 3Y:0,6M:0 3Y:0,6M:0 3Y:0,100.0000,100.0000,1.2000,0.4527,100000.4527,0.0000,0.0000,0.0000,-17.2432,99982.7568,0.0000,0.0000,0.0000,-0.7473,99999.2527,0.0035,0.0004,0.4464,0.1972,0,0
1822145,2020-12-23,10.0000,10.4700,5.7300,0.0470,-0.4270,6M:1 3Y:0,6M:0 3Y:0,6M:0 3Y:0,100.0000,100.0000,4.7000,5.1527,100005.1527,0.0000,0.0000,0.0000,-17.2432,99982.7568,0.0000,0.0000,0.0000,-0.7473,99999.2527,0.0804,0.0110,0.4920,0.2814,0,0
1459417,2014-03-28,419.4000,444.0000,1121.7000,0.0587,1.6745,6M:0 3Y:1,6M:0 3Y:1,6M:1 3Y:1,100.0000,100.0000,167.4535,172.6062,100172.6062,100.0000,100.0000,167.4535,150.2103,100150.2103,200.0000,200.0000,173.3190,172.5717,100172.5717,0.1372,0.9151,0.5262,0.5901,1,1
1620463,2020-09-18,17.1100,20.6600,1.9500,0.2075,-0.8860,6M:1 3Y:0,6M:1 3Y:0,6M:1 3Y:0,100.0000,100.0000,20.7481,193.3543,100193.3543,100.0000,100.0000,20.7481,170.9584,100170.9584,100.0000,100.0000,20.7481,193.3198,100193.3198,0.9193,0.0112,0.5208,0.2962,1,0
1747068,2017-01-19,848597.4200,848597.5000,15.9900,0.0000,-1.0000,6M:0 3Y:0,6M:0 3Y:0,6M:0 3Y:0,0.0000,0.0000,0.0000,193.3543,100193.3543,0.0000,0.0000,0.0000,170.9584,100170.9584,0.0000,0.0000,0.0000,193.3198,100193.3198,0.0737,0.2952,0.4539,0.1013,0,0
1037676,2020-12-21,1.1500,1.1300,2.4100,-0.0174,1.0957,6M:0 3Y:0,6M:0 3Y:0,6M:1 3Y:0,0.0000,0.0000,0.0000,193.3543,100193.3543,0.0000,0.0000,0.0000,170.9584,100170.9584,100.0000,100.0000,-1.7391,191.5807,100191.5807,0.2617,0.1957,0.5263,0.2975,0,0
1783180,2020-03-19,11.2600,27.9500,42.5500,1.4822,2.7789,6M:1 3Y:0,6M:1 3Y:1,6M:1 3Y:1,100.0000,100.0000,148.2238,341.5781,100341.5781,200.0000,200.0000,426.1101,597.0685,100597.0685,200.0000,200.0000,426.1101,617.6908,100617.6908,0.9015,0.9531,0.5292,0.7023,1,1
1939965,2023-01-26,5.0000,2.0800,0.6900,-0.5840,-0.8620,6M:0 3Y:0,6M:0 3Y:0,6M:0 3Y:0,0.0000,0.0000,0.0000,341.5781,100341.5781,0.0000,0.0000,0.0000,597.0685,100597.0685,0.0000,0.0000,0.0000,617.6908,100617.6908,0.0741,0.0040,0.4560,0.2512,0,0
